"Paper #","Paper Name","Meeting","Status","First released version","GitHub issue","Notes"
"[P2434R5](https://wg21.link/P2434R5)","Nondeterministic pointer provenance","2026-06 (Brno)","","","[#204390](https://github.com/llvm/llvm-project/issues/204390)","Voted as a Defect Report."
"[P4101R1](https://wg21.link/P4101R1)","Consteval-only Values for C++26","2026-06 (Brno)","","","[#204391](https://github.com/llvm/llvm-project/issues/204391)","Voted as a Defect Report."
"[P2414R12](https://wg21.link/P2414R12)","Pointer lifetime-end zap proposed solutions","2026-06 (Brno)","","","[#204392](https://github.com/llvm/llvm-project/issues/204392)","Voted as a Defect Report."
"[P3319R6](https://wg21.link/P3319R6)","Add an `iota` object for `simd` (and more)","2026-06 (Brno)","","","[#204393](https://github.com/llvm/llvm-project/issues/204393)",""
"[P3798R1](https://wg21.link/P3798R1)","The unexpected in `std::expected`","2026-06 (Brno)","{{Complete}}","24","[#204394](https://github.com/llvm/llvm-project/issues/204394)",""
"[P3052R2](https://wg21.link/P3052R2)","`view_interface::at()`","2026-06 (Brno)","24","{{Complete}}","[#204395](https://github.com/llvm/llvm-project/issues/204395)",""
"[P4206R0](https://wg21.link/P4206R0)","Revert string support in `std::constant_wrapper`","2026-06 (Brno)","{{Complete}}","23","[#203336](https://github.com/llvm/llvm-project/issues/203336)","Applied as a Defect Report."
"[P3395R6](https://wg21.link/P3395R6)","Fix encoding issues and add a formatter for `std::error_code`","2026-06 (Brno)","","","[#204396](https://github.com/llvm/llvm-project/issues/204396)",""
"[P3505R4](https://wg21.link/P3505R4)","Fix the default floating-point representation in `std::format`","2026-06 (Brno)","","","[#204397](https://github.com/llvm/llvm-project/issues/204397)","To be applied as a Defect Report."
"[P3154R3](https://wg21.link/P3154R3)","Deprecating signed character types in iostreams","2026-06 (Brno)","","","[#204398](https://github.com/llvm/llvm-project/issues/204398)",""
"[P3428R4](https://wg21.link/P3428R4)","Hazard Pointer Batches","2026-06 (Brno)","","","[#204399](https://github.com/llvm/llvm-project/issues/204399)",""
"[P3248R5](https://wg21.link/P3248R5)","Require `[u]intptr_t`","2026-06 (Brno)","","","[#204400](https://github.com/llvm/llvm-project/issues/204400)",""
"[P3793R2](https://wg21.link/P3793R2)","Better shifting","2026-06 (Brno)","","","[#204401](https://github.com/llvm/llvm-project/issues/204401)",""
"[P3242R4](https://wg21.link/P3242R4)","Copy and fill for `mdspan`","2026-06 (Brno)","","","[#204402](https://github.com/llvm/llvm-project/issues/204402)",""
"[P3692R4](https://wg21.link/P3692R4)","How to Avoid OOTA Without Really Trying","2026-06 (Brno)","","","[#204403](https://github.com/llvm/llvm-project/issues/204403)",""
"[P3104R6](https://wg21.link/P3104R6)","Bit permutations","2026-06 (Brno)","","","[#204404](https://github.com/llvm/llvm-project/issues/204404)",""
"[P3772R2](https://wg21.link/P3772R2)","`std::simd` overloads for bit permutations","2026-06 (Brno)","","","[#204405](https://github.com/llvm/llvm-project/issues/204405)",""
"[P3091R6](https://wg21.link/P3091R6)","Better Lookups for `map`, `unordered_map`, and `flat_map`","2026-06 (Brno)","","","[#204406](https://github.com/llvm/llvm-project/issues/204406)",""
"[P3125R6](https://wg21.link/P3125R6)","constexpr pointer tagging","2026-06 (Brno)","","","[#204407](https://github.com/llvm/llvm-project/issues/204407)",""
"[P2019R9](https://wg21.link/P2019R9)","Thread attributes","2026-06 (Brno)","","","[#204423](https://github.com/llvm/llvm-project/issues/204423)",""
"[P3785R1](https://wg21.link/P3785R1)","Library Wording Changes for Defaulted Postfix Increment and Decrement Operations","2026-06 (Brno)","","","[#204424](https://github.com/llvm/llvm-project/issues/204424)",""
