"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG2994](https://wg21.link/LWG2994)","Needless UB for `basic_string` and `basic_string_view`","2023-06 (Varna)","{{Complete}}","5","[#105268](https://github.com/llvm/llvm-project/issues/105268)",""
"[LWG3884](https://wg21.link/LWG3884)","`flat_foo` is missing allocator-extended copy/move constructors","2023-06 (Varna)","{{Complete}}","21","[#105269](https://github.com/llvm/llvm-project/issues/105269)",""
"[LWG3885](https://wg21.link/LWG3885)","`op` should be in [zombie.names]","2023-06 (Varna)","{{NothingToDo}}","","[#105270](https://github.com/llvm/llvm-project/issues/105270)",""
"[LWG3887](https://wg21.link/LWG3887)","Version macro for `allocate_at_least`","2023-06 (Varna)","{{Complete}}","19","[#105271](https://github.com/llvm/llvm-project/issues/105271)",""
"[LWG3893](https://wg21.link/LWG3893)","LWG 3661 broke `atomic<shared_ptr<T>> a; a = nullptr;`","2023-06 (Varna)","","","[#105273](https://github.com/llvm/llvm-project/issues/105273)",""
"[LWG3894](https://wg21.link/LWG3894)","`generator::promise_type::yield_value(ranges::elements_of<Rng, Alloc>)` should not be `noexcept`","2023-06 (Varna)","","","[#105274](https://github.com/llvm/llvm-project/issues/105274)",""
"[LWG3903](https://wg21.link/LWG3903)","span destructor is redundantly noexcept","2023-06 (Varna)","{{Complete}}","7","[#105275](https://github.com/llvm/llvm-project/issues/105275)",""
"[LWG3904](https://wg21.link/LWG3904)","`lazy_split_view::outer-iterator`'s const-converting constructor isn't setting `trailing_empty_`","2023-06 (Varna)","","","[#105276](https://github.com/llvm/llvm-project/issues/105276)",""
"[LWG3905](https://wg21.link/LWG3905)","Type of `std::fexcept_t`","2023-06 (Varna)","{{Complete}}","3.4","[#105277](https://github.com/llvm/llvm-project/issues/105277)",""
"[LWG3912](https://wg21.link/LWG3912)","`enumerate_view::iterator::operator-` should be `noexcept`","2023-06 (Varna)","{{Complete}}","23","[#105279](https://github.com/llvm/llvm-project/issues/105279)",""
"[LWG3914](https://wg21.link/LWG3914)","Inconsistent template-head of `ranges::enumerate_view`","2023-06 (Varna)","{{Complete}}","23","[#105280](https://github.com/llvm/llvm-project/issues/105280)",""
"[LWG3915](https://wg21.link/LWG3915)","Redundant paragraph about expression variations","2023-06 (Varna)","","","[#105281](https://github.com/llvm/llvm-project/issues/105281)",""
"[LWG3925](https://wg21.link/LWG3925)","Concept `formattable`'s definition is incorrect","2023-06 (Varna)","{{Complete}}","17","[#105282](https://github.com/llvm/llvm-project/issues/105282)",""
"[LWG3927](https://wg21.link/LWG3927)","Unclear preconditions for `operator[]` for sequence containers","2023-06 (Varna)","{{NothingToDo}}","","[#105283](https://github.com/llvm/llvm-project/issues/105283)",""
"[LWG3935](https://wg21.link/LWG3935)","`template<class X> constexpr complex& operator=(const complex<X>&)` has no specification","2023-06 (Varna)","{{Complete}}","3.4","[#105284](https://github.com/llvm/llvm-project/issues/105284)",""
"[LWG3938](https://wg21.link/LWG3938)","Cannot use `std::expected` monadic ops with move-only `error_type`","2023-06 (Varna)","{{Complete}}","18","[#105285](https://github.com/llvm/llvm-project/issues/105285)",""
"[LWG3940](https://wg21.link/LWG3940)","`std::expected<void, E>::value()` also needs `E` to be copy constructible","2023-06 (Varna)","{{Complete}}","18","[#105286](https://github.com/llvm/llvm-project/issues/105286)",""
"","","","","","",""
"[LWG2392](https://wg21.link/LWG2392)","""character type"" is used but not defined","2023-11 (Kona)","","","[#105287](https://github.com/llvm/llvm-project/issues/105287)",""
