"Issue #","Issue Name","Meeting","Status","First released version","GitHub issue","Notes"
"[LWG2839](https://wg21.link/LWG2839)","Self-move-assignment of library types, again","2020-11 (Virtual)","{{NothingToDo}}","","[#104255](https://github.com/llvm/llvm-project/issues/104255)",""
"[LWG3117](https://wg21.link/LWG3117)","Missing `packaged_task` deduction guides","2020-11 (Virtual)","{{Complete}}","16","[#104256](https://github.com/llvm/llvm-project/issues/104256)",""
"[LWG3143](https://wg21.link/LWG3143)","`monotonic_buffer_resource` growth policy is unclear","2020-11 (Virtual)","{{Complete}}","16","[#104258](https://github.com/llvm/llvm-project/issues/104258)",""
"[LWG3195](https://wg21.link/LWG3195)","What is the stored pointer value of an empty `weak_ptr`?","2020-11 (Virtual)","{{NothingToDo}}","","[#104259](https://github.com/llvm/llvm-project/issues/104259)",""
"[LWG3211](https://wg21.link/LWG3211)","`std::tuple<>` should be trivially constructible","2020-11 (Virtual)","{{Complete}}","9","[#104260](https://github.com/llvm/llvm-project/issues/104260)",""
"[LWG3236](https://wg21.link/LWG3236)","Random access iterator requirements lack limiting relational operators domain to comparing those from the same range","2020-11 (Virtual)","{{NothingToDo}}","","[#104261](https://github.com/llvm/llvm-project/issues/104261)",""
"[LWG3265](https://wg21.link/LWG3265)","`move_iterator`'s conversions are more broken after P1207","2020-11 (Virtual)","{{NothingToDo}}","","[#104262](https://github.com/llvm/llvm-project/issues/104262)","Resolved by [LWG3435](https://wg21.link/LWG3435)"
"[LWG3435](https://wg21.link/LWG3435)","`three_way_comparable_with<reverse_iterator<int*>, reverse_iterator<const int*>>`","2020-11 (Virtual)","{{Complete}}","13","[#104263](https://github.com/llvm/llvm-project/issues/104263)",""
"[LWG3432](https://wg21.link/LWG3432)","Missing requirement for `comparison_category`","2020-11 (Virtual)","{{Complete}}","16","[#104265](https://github.com/llvm/llvm-project/issues/104265)",""
"[LWG3447](https://wg21.link/LWG3447)","Deduction guides for `take_view` and `drop_view` have different constraints","2020-11 (Virtual)","{{Complete}}","14","[#104266](https://github.com/llvm/llvm-project/issues/104266)",""
"[LWG3450](https://wg21.link/LWG3450)","The const overloads of `take_while_view::begin/end` are underconstrained","2020-11 (Virtual)","{{Complete}}","16","[#104267](https://github.com/llvm/llvm-project/issues/104267)",""
"[LWG3464](https://wg21.link/LWG3464)","`istream::gcount()` can overflow","2020-11 (Virtual)","{{Complete}}","18","[#104269](https://github.com/llvm/llvm-project/issues/104269)",""
"[LWG2731](https://wg21.link/LWG2731)","Existence of `lock_guard<MutexTypes...>::mutex_type` typedef unclear","2020-11 (Virtual)","{{Complete}}","5","[#104270](https://github.com/llvm/llvm-project/issues/104270)",""
"[LWG2743](https://wg21.link/LWG2743)","P0083R3 `node_handle` private members missing ""exposition only"" comment","2020-11 (Virtual)","{{NothingToDo}}","","[#104272](https://github.com/llvm/llvm-project/issues/104272)",""
"[LWG2820](https://wg21.link/LWG2820)","Clarify `<cstdint>` macros","2020-11 (Virtual)","{{NothingToDo}}","","[#104273](https://github.com/llvm/llvm-project/issues/104273)",""
"[LWG3120](https://wg21.link/LWG3120)","Unclear behavior of `monotonic_buffer_resource::release()`","2020-11 (Virtual)","{{Complete}}","16","[#104274](https://github.com/llvm/llvm-project/issues/104274)",""
"[LWG3170](https://wg21.link/LWG3170)","`is_always_equal` added to `std::allocator` makes the standard library treat derived types as always equal","2020-11 (Virtual)","{{Complete}}","18","[#104275](https://github.com/llvm/llvm-project/issues/104275)",""
"[LWG3036](https://wg21.link/LWG3036)","`polymorphic_allocator::destroy` is extraneous","2020-11 (Virtual)","{{NothingToDo}}","","[#104276](https://github.com/llvm/llvm-project/issues/104276)","Reverted by P2875R4"
"[LWG3171](https://wg21.link/LWG3171)","LWG2989 breaks `directory_entry` stream insertion","2020-11 (Virtual)","{{Complete}}","14","[#104277](https://github.com/llvm/llvm-project/issues/104277)",""
"[LWG3306](https://wg21.link/LWG3306)","`ranges::advance` violates its preconditions","2020-11 (Virtual)","{{Complete}}","14","[#104279](https://github.com/llvm/llvm-project/issues/104279)",""
"[LWG3403](https://wg21.link/LWG3403)","Domain of `ranges::ssize(E)` doesn't `match ranges::size(E)`","2020-11 (Virtual)","{{Complete}}","13","[#104280](https://github.com/llvm/llvm-project/issues/104280)",""
"[LWG3404](https://wg21.link/LWG3404)","Finish removing subrange's conversions from pair-like","2020-11 (Virtual)","{{Complete}}","13","[#104282](https://github.com/llvm/llvm-project/issues/104282)",""
"[LWG3405](https://wg21.link/LWG3405)","`common_view`'s converting constructor is bad, too","2020-11 (Virtual)","{{Complete}}","14","[#104283](https://github.com/llvm/llvm-project/issues/104283)",""
"[LWG3406](https://wg21.link/LWG3406)","`elements_view::begin()` and `elements_view::end()` have incompatible constraints","2020-11 (Virtual)","{{Complete}}","16","[#104284](https://github.com/llvm/llvm-project/issues/104284)",""
"[LWG3419](https://wg21.link/LWG3419)","[algorithms.requirements]/15 doesn't reserve as many rights as it intends to","2020-11 (Virtual)","{{NothingToDo}}","","[#104286](https://github.com/llvm/llvm-project/issues/104286)",""
"[LWG3420](https://wg21.link/LWG3420)","cpp17-iterator should check that the type looks like an iterator first","2020-11 (Virtual)","{{Complete}}","14","[#104287](https://github.com/llvm/llvm-project/issues/104287)",""
"[LWG3421](https://wg21.link/LWG3421)","Imperfect ADL emulation for boolean-testable","2020-11 (Virtual)","{{NothingToDo}}","","[#104288](https://github.com/llvm/llvm-project/issues/104288)",""
"[LWG3425](https://wg21.link/LWG3425)","`condition_variable_any` fails to constrain its Lock parameters","2020-11 (Virtual)","{{NothingToDo}}","","[#104289](https://github.com/llvm/llvm-project/issues/104289)",""
"[LWG3426](https://wg21.link/LWG3426)","`operator<=>(const unique_ptr<T, D>&, nullptr_t)` can't get no satisfaction","2020-11 (Virtual)","{{Complete}}","16","[#104290](https://github.com/llvm/llvm-project/issues/104290)",""
"[LWG3427](https://wg21.link/LWG3427)","`operator<=>(const shared_ptr<T>&, nullptr_t)` definition ill-formed","2020-11 (Virtual)","{{Complete}}","16","[#104291](https://github.com/llvm/llvm-project/issues/104291)",""
"[LWG3428](https://wg21.link/LWG3428)","`single_view`'s in place constructor should be explicit","2020-11 (Virtual)","{{Complete}}","14","[#104292](https://github.com/llvm/llvm-project/issues/104292)",""
"[LWG3434](https://wg21.link/LWG3434)","`ios_base` never reclaims memory for iarray and parray","2020-11 (Virtual)","{{NothingToDo}}","","[#104293](https://github.com/llvm/llvm-project/issues/104293)",""
"[LWG3437](https://wg21.link/LWG3437)","`__cpp_lib_polymorphic_allocator` is in the wrong header","2020-11 (Virtual)","{{Complete}}","14","[#104294](https://github.com/llvm/llvm-project/issues/104294)",""
